City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
601,Traverse City,US,88.54,broken clouds,44.7631,-85.6206,Bayshore Resort
603,Manggar,ID,80.67,clear sky,-2.8833,108.2667,Guest Hotel
607,Deep River,CA,83.43,few clouds,46.1001,-77.4995,Deep River Motel
609,Keuruu,FI,78.98,scattered clouds,62.2667,24.7,Hostelli Nonna
611,Xiangxiang,CN,77.09,few clouds,27.7333,112.5333,Huatai International Hotel
617,Banjar,ID,76.86,clear sky,-8.19,114.9675,The Hamsa Resort
619,Puerto Leguizamo,CO,84.85,broken clouds,-0.1934,-74.7819,la casona de juancho
620,Sechura,PE,77.63,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
633,Mattru,SL,76.82,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
640,Orbetello,IT,88.23,moderate rain,42.4408,11.2196,Argentario Golf Resort & Spa
641,Alexandria,EG,80.1,clear sky,31.2156,29.9553,Royal Crown Hotel
644,Arinos,BR,86.31,clear sky,-15.9169,-46.1056,casa do bruno
646,Akyab,MM,80.85,overcast clouds,20.15,92.9,Hotel Memory
648,Kathu,TH,82.22,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
649,Fethiye,TR,82.27,clear sky,36.6217,29.1164,Club & Hotel Letoonia
650,Mana,GF,82.17,scattered clouds,5.6592,-53.7767,LE SAMANA
651,Maracaibo,VE,88.99,broken clouds,10.6317,-71.6406,Motel Aladdin
656,Muros,ES,81.16,clear sky,42.7762,-9.0603,Apartment Av. Castelao
661,Kavaratti,IN,81.46,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
662,Tarutyne,UA,77.54,clear sky,46.1858,29.1506,Hotel Bessarabien Haus
663,Kedougou,SN,82.35,broken clouds,12.5579,-12.1743,Relais de Kédougou
668,Mossendjo,CG,75.92,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
675,Pokrovsk,UA,75.85,overcast clouds,48.282,37.1758,Druzhba
676,Ternate,ID,80.82,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
678,Cape Coast,GH,76.8,broken clouds,5.1053,-1.2466,Samrit Hotel
684,Sorong,ID,77.99,broken clouds,-0.8833,131.25,waigo splash hotel
685,Anaco,VE,83.3,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
689,Mount Pleasant,US,90.0,scattered clouds,32.7941,-79.8626,Best Western Patriots Point
690,Ribeira Brava,PT,81.01,few clouds,32.65,-17.0667,Hotel do Campo
695,Dubova,RO,78.28,broken clouds,44.6167,22.2667,Vila Hercules
696,Hazorasp,UZ,76.84,clear sky,41.3194,61.0742,Kemping wifi hotel
697,Wajima,JP,78.46,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
